L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu. Ciê¿ko odró¿niæ przy dwóch skrzy¿owaniach;Czas trwania nadawania sygna³u odjazdu (S)
R;43;54.002755686849;before;
R;109;54.002755687352;before;
R;211;54.002968667403;before;
R;265;54.002968667639;before;
R;217;54.00305970792;after;
R;73;54.003059712373;before;
R;127;54.003059712373;before;
R;151;54.003231142219;after;
R;175;54.003231142408;after;
L;217;54.279145725384;after;
L;109;54.279145737394;before;
L;139;54.279145737394;before;
L;253;54.588571692424;before;
L;43;54.588571696713;before;
L;127;54.659621762415;before;
S;175;55.000240141337;before;0.000240141337
S;235;55.000240141387;before;0.000240141387
R;187;55.001316268023;before;
R;121;55.00170116724;before;
R;169;55.00170116724;before;
R;223;55.002195166458;after;
R;97;55.002270279775;after;
R;193;55.002270293044;before;
R;139;55.002631787436;before;
R;127;55.002948812457;before;
L;151;55.158850192261;after;
L;175;55.158850192261;before;
L;169;55.171114217282;before;
L;223;55.171114217282;after;
L;151;55.404355192261;after;
L;265;55.453024717445;before;
L;253;55.506524742466;before;
S;169;56.00023321737;before;0.00023321737
S;73;56.00023671753;before;0.00023671753
S;157;56.000241218837;before;0.000241218837
R;55;56.001767245916;after;
R;73;56.001842812557;before;
R;253;56.001894742466;before;
R;175;56.002097242479;after;
R;151;56.002097242551;after;
R;211;56.002211767487;before;
R;265;56.002211767487;before;
R;43;56.002692837214;after;
R;109;56.002692837678;before;
R;241;56.002948075063;before;
L;127;56.114804812464;before;
L;283;56.385431293044;before;
L;259;56.681758318065;before;
R;163;57.001279812526;before;
R;127;57.001279812589;before;
R;235;57.00147519213;after;
R;223;57.001948217848;after;
R;139;57.002285837742;before;
R;109;57.002285837821;before;
R;187;57.002468318065;before;
R;259;57.002850318065;before;
R;193;57.003149343086;before;
R;139;57.003169837616;before;
L;271;57.431697745267;before;
L;43;57.431697747038;after;
L;229;57.657811770288;before;
S;73;58.000235863902;after;0.000235863902
R;175;58.001286295178;after;
R;73;58.001674771887;after;
R;265;58.001777817529;before;
R;157;58.00193925924;before;
R;121;58.001939271122;after;
R;169;58.001967321833;before;
R;253;58.00208184255;before;
R;277;58.00208184255;before;
R;55;58.002646296328;after;
R;151;58.002646297861;after;
R;157;58.002646301281;before;
R;43;58.002654796736;after;
R;109;58.002654797968;after;
R;229;58.002836770288;before;
R;55;58.002963314605;after;
R;121;58.00296333144;after;
L;265;58.659587867571;before;
S;139;59.0002398905;before;0.0002398905
R;139;59.001274839116;before;
R;193;59.001524351323;before;
R;163;59.001812865706;before;
R;127;59.00181286578;after;
R;235;59.001841348905;after;
R;187;59.002036376344;before;
