Typ wiadomoœci: L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
L;241;55.436511521319;before;
R;127;56.001645753669;before;
R;163;56.001645753669;before;
R;241;56.001730521319;before;
R;271;56.001730521319;before;
R;121;56.001730528216;after;
R;205;56.001847547356;before;
R;49;56.001909360817;before;
R;175;56.001909365257;after;
R;121;56.002268533131;after;
R;217;56.00226854634;before;
R;253;56.00226854634;before;
R;181;56.002372572377;before;
R;259;56.002372572377;before;
R;169;56.002408390406;after;
R;193;56.002408392785;after;
R;145;56.00284677869;before;
R;241;56.003170544943;before;
R;217;56.003170555767;before;
R;253;56.003170565049;before;
R;205;56.003183597398;before;
R;229;56.003201396012;before;
L;253;56.23842654634;before;
L;199;56.318543829732;before;
L;115;56.46595877869;before;
L;145;56.46595877869;before;
S;223;57.000241423537;after;0.000241423537
R;85;57.00172277869;before;
R;229;57.001728451062;after;
R;193;57.001728451067;after;
R;199;57.001750829732;before;
R;115;57.00210977869;before;
R;145;57.00210977869;before;
R;253;57.00248054634;before;
R;163;57.002730854753;before;
R;283;57.002730854753;before;
R;175;57.002825477401;after;
R;223;57.002825478597;after;
R;73;57.002975803711;before;
R;127;57.003193803711;before;
L;121;57.662963560836;after;
L;241;57.662963571361;before;
L;271;57.662963571361;before;
R;145;58.001395879774;before;
R;181;58.001399499506;before;
R;253;58.001436596382;before;
R;133;58.00143660087;after;
R;205;58.001475597398;before;
R;277;58.001475597398;before;
R;169;58.001987610984;after;
R;181;58.001987622419;before;
R;259;58.001987622419;before;
R;205;58.00229162457;before;
R;181;58.002291630733;before;
R;253;58.002390611831;before;
R;271;58.002390625802;before;
R;241;58.002390630379;before;
R;127;58.002440904795;before;
R;163;58.002440904795;before;
R;169;58.002686650482;after;
R;175;58.002686652838;after;
R;151;58.002686655754;before;
R;205;58.002686655754;before;
R;133;58.002772622792;after;
R;241;58.002772636852;before;
R;259;58.002871622419;before;
L;115;58.327276929816;before;
L;145;58.327276929816;before;
L;133;58.513446617925;after;
L;253;58.513446618014;before;
L;295;58.513446618014;before;
L;121;58.51344662515;after;
L;199;58.525022879774;before;
R;283;59.001334904795;before;
R;115;59.001344929816;before;
R;295;59.001380618014;before;
R;85;59.001405828732;before;
R;73;59.001696853753;before;
R;223;59.001874479404;after;
R;283;59.002608906165;before;
R;193;59.002958506277;after;
R;229;59.002958507681;after;
R;151;59.002958508204;before;
R;103;59.003130954837;before;
R;127;59.003130954837;before;
R;199;59.003159931186;before;
R;109;59.003159938528;after;
L;133;59.253273629014;after;
L;271;59.253273643035;before;
R;301;60.001311650504;before;
R;181;60.001545680775;before;
R;169;60.001644619543;after;
R;133;60.001823671994;after;
R;295;60.001823675525;before;
R;127;60.001881954837;before;
R;163;60.001881954837;before;
R;175;60.001935635698;after;
R;205;60.00193564744;before;
R;277;60.00193564744;before;
R;277;60.002182641688;before;
R;253;60.002198646424;before;
R;145;60.002211979858;before;
R;205;60.002265705796;before;
R;271;60.002387700546;before;
R;301;60.002387700546;before;
R;241;60.002671671445;before;
R;271;60.002671671445;before;
L;199;60.134983931186;before;
L;253;60.598531696466;before;
L;295;60.598531696466;before;
L;115;60.639094979858;before;
L;145;60.639094979858;before;
R;283;61.001412956207;before;
R;217;61.001453533698;before;
R;229;61.002048738102;after;
R;223;61.002360571403;after;
R;85;61.00236058494;before;
R;229;61.002360587688;after;
R;253;61.002628696466;before;
R;127;61.002749004879;before;
R;199;61.002795981228;before;
R;61;61.00298959838;before;
R;49;61.002989611682;before;
R;151;61.002989619994;before;
R;115;61.0030920299;before;
R;241;61.003200558719;before;
R;193;61.003200561119;after;
R;73;61.003319629044;before;
