L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
R;109;55.002732482543;before;
R;49;55.002732495612;before;
R;127;55.002753467926;before;
R;109;55.003057492947;before;
R;139;55.003057492947;before;
R;145;55.003096467926;before;
L;277;55.150514674694;before;
L;205;55.232159699715;before;
L;211;55.38849853518;before;
L;121;55.388498554837;after;
L;217;55.409910338671;before;
R;193;56.001513551768;after;
R;271;56.00166234048;before;
R;181;56.001751724736;before;
R;277;56.001751724736;before;
R;31;56.002044353327;after;
R;247;56.002044365501;before;
R;205;56.002068749757;before;
R;253;56.002068750606;before;
R;217;56.002738390522;before;
R;271;56.002738390522;before;
R;199;56.002957492947;before;
R;211;56.003029415543;before;
R;247;56.003029415543;before;
R;259;56.003029417724;before;
R;205;56.003238749757;before;
L;145;56.677350517968;before;
R;115;57.001310515502;after;
R;127;57.001310517968;before;
R;223;57.001881579749;after;
R;145;57.002030517968;before;
R;295;57.002030517968;before;
R;115;57.002030524952;after;
R;283;57.002185598139;before;
R;193;57.00218560773;after;
R;145;57.002321536804;before;
R;139;57.002321547507;before;
R;127;57.002402526301;before;
R;109;57.003031551322;before;
R;139;57.003031551322;before;
L;277;57.184501775301;before;
L;253;57.191890796652;before;
L;289;57.191890800322;before;
L;217;57.192716444926;before;
L;247;57.409096415543;before;
R;205;58.001421749757;before;
R;133;58.001485435348;after;
R;217;58.001485440564;before;
R;271;58.001485440564;before;
R;205;58.001782800322;before;
R;289;58.001782800322;before;
R;181;58.002242825343;before;
R;277;58.002242825343;before;
R;199;58.002533561825;before;
R;217;58.002673448893;before;
R;133;58.002977462438;after;
R;247;58.002977473914;before;
R;301;58.002977476574;before;
R;277;58.003061825343;before;
L;145;58.433800586846;before;
L;295;58.433800586846;before;
L;115;58.65256960072;after;
L;199;58.652569611867;before;
R;109;59.001317609094;before;
R;61;59.001972634115;before;
R;223;59.001972638439;after;
R;109;59.002263659136;before;
R;139;59.002263659136;before;
R;145;59.002339636888;before;
R;295;59.002339636888;before;
R;199;59.002721661909;before;
L;247;59.254929465585;before;
L;211;59.612720486769;before;
L;217;59.612720503297;before;
L;301;59.61272050652;before;
R;217;60.001347517194;before;
R;247;60.001347533722;before;
R;205;60.001379850364;before;
R;289;60.001379850364;before;
R;217;60.002015558743;before;
R;271;60.002015558743;before;
R;301;60.002015560924;before;
R;205;60.002024850364;before;
R;181;60.002315875385;before;
R;277;60.002315875385;before;
R;283;60.002315875796;before;
R;301;60.002423569417;before;
R;211;60.002423583764;before;
R;247;60.002423583764;before;
R;259;60.002423585945;before;
R;307;60.00300856986;before;
R;193;60.003008572092;after;
R;247;60.003008583764;before;
R;277;60.003100875385;before;
L;199;60.574426661909;before;
R;223;61.001424677957;after;
R;127;61.00142468693;before;
R;109;61.002092711951;before;
R;295;61.00220968693;before;
R;199;61.002539711951;before;
R;127;61.002591736972;before;
L;307;61.568707580009;before;
L;247;61.568707583764;before;
R;205;62.001447900406;before;
R;277;62.001678875385;before;
R;181;62.002076925427;before;
R;277;62.002076925427;before;
R;301;62.002223590765;before;
R;217;62.002553601439;before;
R;235;62.002553612114;before;
R;259;62.002553615786;before;
R;211;62.002553617967;before;
R;307;62.002883628641;before;
R;217;62.002883642988;before;
R;271;62.002883642988;before;
R;301;62.002883645169;before;
R;235;62.002883645362;before;
R;205;62.003043950448;before;
R;289;62.003043950448;before;
R;247;62.003213639315;before;
